,Unnamed: 0,store_nbr,month,family,item_nbr,item_sales,family_sales
543,543,1,1,BREAD/BAKERY,103665,479.0,52500.438
544,544,1,1,BREAD/BAKERY,153239,107.0,52500.438
545,545,1,1,BREAD/BAKERY,153395,192.0,52500.438
546,546,1,1,BREAD/BAKERY,153398,519.0,52500.438
547,547,1,1,BREAD/BAKERY,165718,294.0,52500.438
548,548,1,1,BREAD/BAKERY,215370,428.0,52500.438
549,549,1,1,BREAD/BAKERY,265279,587.0,52500.438
550,550,1,1,BREAD/BAKERY,269084,319.0,52500.438
551,551,1,1,BREAD/BAKERY,302952,362.0,52500.438
552,552,1,1,BREAD/BAKERY,310644,2653.0,52500.438
553,553,1,1,BREAD/BAKERY,310647,226.0,52500.438
554,554,1,1,BREAD/BAKERY,311994,3948.436,52500.438
555,555,1,1,BREAD/BAKERY,312113,365.0,52500.438
556,556,1,1,BREAD/BAKERY,315474,482.0,52500.438
557,557,1,1,BREAD/BAKERY,359913,614.0,52500.438
558,558,1,1,BREAD/BAKERY,360313,438.0,52500.438
559,559,1,1,BREAD/BAKERY,360314,973.0,52500.438
560,560,1,1,BREAD/BAKERY,409738,1022.0,52500.438
561,561,1,1,BREAD/BAKERY,409739,214.0,52500.438
562,562,1,1,BREAD/BAKERY,414478,229.0,52500.438
563,563,1,1,BREAD/BAKERY,452212,1190.0,52500.438
564,564,1,1,BREAD/BAKERY,459762,537.0,52500.438
565,565,1,1,BREAD/BAKERY,464385,392.0,52500.438
566,566,1,1,BREAD/BAKERY,502182,126.0,52500.438
567,567,1,1,BREAD/BAKERY,502331,3120.0,52500.438
568,568,1,1,BREAD/BAKERY,511172,83.0,52500.438
569,569,1,1,BREAD/BAKERY,552050,235.0,52500.438
570,570,1,1,BREAD/BAKERY,559044,487.0,52500.438
571,571,1,1,BREAD/BAKERY,559494,503.0,52500.438
572,572,1,1,BREAD/BAKERY,564287,1265.0,52500.438
573,573,1,1,BREAD/BAKERY,564288,666.0,52500.438
574,574,1,1,BREAD/BAKERY,594045,214.0,52500.438
575,575,1,1,BREAD/BAKERY,679602,369.0,52500.438
576,576,1,1,BREAD/BAKERY,679603,275.0,52500.438
577,577,1,1,BREAD/BAKERY,679604,300.0,52500.438
578,578,1,1,BREAD/BAKERY,696183,282.0,52500.438
579,579,1,1,BREAD/BAKERY,724360,557.0,52500.438
580,580,1,1,BREAD/BAKERY,724403,462.0,52500.438
581,581,1,1,BREAD/BAKERY,736128,359.0,52500.438
582,582,1,1,BREAD/BAKERY,809882,567.0,52500.438
583,583,1,1,BREAD/BAKERY,823245,597.0,52500.438
584,584,1,1,BREAD/BAKERY,830806,465.0,52500.438
585,585,1,1,BREAD/BAKERY,841197,2855.0,52500.438
586,586,1,1,BREAD/BAKERY,847894,963.0,52500.438
587,587,1,1,BREAD/BAKERY,858872,93.0,52500.438
588,588,1,1,BREAD/BAKERY,888682,1217.0,52500.438
589,589,1,1,BREAD/BAKERY,888689,609.0,52500.438
590,590,1,1,BREAD/BAKERY,913526,138.0,52500.438
